pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.113,195.89164,0.968526023,0.01839,811.0,1.338589,5606.0,0.00432,-0.08,False,True,False,1,0.9884252855936173,1
1.7,195.89164,0.959624,0.0186,811.0,1.338589,5528.0,0.00432,-0.02,False,True,False,1,0.9881931383621886,2
0.85,195.89164,1.005205893,0.0194,811.0,1.338589,5718.0,0.00432,-0.08,False,True,False,1,0.9874950670930523,3
0.89,195.89164,1.005207007,0.0194,811.0,1.338589,5717.0,0.00432,-0.08,False,True,False,1,0.9874950670930523,4
1.48,195.89164,0.938466832,0.0186,811.0,1.338589,5902.0,0.00432,-0.1,False,True,False,1,0.9860274799397977,5
1.357,195.89164,0.938466832,0.01795,811.0,1.338589,5534.0,0.00432,-0.07,False,True,False,1,0.9854099925970494,6
1.72,195.89164,0.926118,0.018,811.0,1.338589,5596.0,0.00432,-0.07,False,True,False,1,0.9848349219509122,7
0.98,195.89164,0.665026916,0.0151,811.0,1.338589,5957.0,0.00432,-0.08,False,True,False,1,0.9836079773990843,8
1.745,195.89164,1.008035,0.02012,811.0,1.338589,5978.0,0.00432,-0.04,False,True,False,1,0.9830687465512661,9
0.95,195.89164,1.022678821,0.0191,811.0,1.338589,5559.0,0.00432,-0.18,False,True,False,1,0.9827264261662472,10
1.19,195.89164,0.974868926,0.0187,811.0,1.338589,5487.0,0.00432,0.0,False,True,False,1,0.9824250598737401,11
1.16,195.89164,0.974868896,0.0187,811.0,1.338589,5487.0,0.00432,0.0,False,True,False,1,0.9823570326628558,12
1.36,195.89164,0.675650404,0.0153,811.0,1.338589,5966.0,0.00432,-0.02,False,True,False,1,0.9812592895422322,13
1.44,195.89164,0.675649486,0.0153,811.0,1.338589,5966.0,0.00432,-0.02,False,True,False,1,0.9812592895422322,14
1.35,195.89164,0.634003002,0.0136,811.0,1.338589,5226.0,0.00432,-0.16,False,True,False,1,0.9807596132929022,15
1.45,195.89164,0.634002937,0.0136,811.0,1.338589,5238.0,0.00432,-0.16,False,True,False,1,0.9807596132929022,16
1.395,195.89164,0.679336272,0.01452,811.0,1.338589,5463.0,0.00432,-0.04,False,True,False,1,0.9799581001274186,17
1.25,195.89164,0.679336272,0.0144,811.0,1.338589,5596.0,0.00432,-0.32,False,True,False,1,0.9794999472062993,18
1.52,195.89164,0.962864171,0.0183,811.0,1.338589,5704.0,0.00432,-0.3,False,True,False,1,0.9790380131030135,19
1.48,195.89164,0.962867382,0.0183,811.0,1.338589,5693.0,0.00432,-0.3,False,True,False,1,0.9789479230129235,20
1.192,195.89164,0.974868926,0.01834,811.0,1.338589,5354.0,0.00432,-0.04,False,True,False,1,0.9787322279063363,21
1.14,195.89164,0.58426,0.0131,811.0,1.338589,5315.0,0.00432,-0.09,False,True,False,1,0.9764547943460783,22
1.31,195.89164,0.538354308,0.0128,811.0,1.338589,5953.0,0.00432,-0.24,False,True,False,1,0.9742617412676301,23
1.47,195.89164,0.577369579,0.0124,811.0,1.338589,5256.0,0.00432,-0.325,False,True,False,1,0.9738867865649358,24
1.42,195.89164,0.577369336,0.0125,811.0,1.338589,5255.0,0.00432,-0.325,False,True,False,1,0.9738092671850909,25
0.99,195.89164,0.968526023,0.0174,811.0,1.338589,5854.0,0.00432,-0.325,False,True,False,1,0.9715027747628926,26
1.355,195.89164,0.538354308,0.01232,811.0,1.338589,5577.0,0.00432,-0.11,False,True,False,1,0.9694970203529832,27
1.7,195.89164,0.36931,0.0095,811.0,1.338589,5245.0,0.00432,-0.17,False,True,False,1,0.9692611113240656,28
0.997,195.89164,0.984940167,0.01824,811.0,1.338589,5627.0,0.00432,-0.325,False,True,False,1,0.9687076525824756,29
1.5,195.89164,0.9628682,0.019,811.0,1.338589,5720.0,0.00432,0.011,False,True,False,1,0.9683055046839125,30
1.676,195.89164,0.5713127,0.01314,811.0,1.338589,5578.0,0.00432,-0.005,False,True,False,1,0.9682877510120774,31
1.25,195.89164,0.96852,0.019,811.0,1.338589,5944.0,0.00432,0.011,False,True,False,1,0.9681932052186719,32
1.423,195.89164,0.446578,0.01055,811.0,1.338589,5455.0,0.00432,-0.325,False,True,False,1,0.9671819749890109,33
1.37,195.89164,0.4465688,0.0106,811.0,1.338589,5326.0,0.00432,-0.325,False,True,False,1,0.9671819749890109,34
1.45,195.89164,0.446573,0.01064,811.0,1.338589,5326.0,0.00432,-0.325,False,True,False,1,0.9671819749890109,35
