pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitable
-0.036334637,-0.113895617,-0.005487148,-0.019109172,-0.127374504,-0.019457094,-0.258966211,-0.799577343,0.064576127,0
-0.036334637,-0.113895617,-0.005460958,-0.018303383,-0.127374504,-0.019457094,-2.323165785,-5.016689645,0.064576127,0
-0.036334637,-0.113895617,-0.005489573,-0.019109172,-0.127374504,-0.019457094,0.144601138,0.045651808,0.064576127,0
-0.053924542,-0.113895617,-0.005487192,-0.01929936,0.200446615,-0.019457094,0.397489294,0.045651808,-0.467604248,0
-0.036334637,4.137757684,-0.005485824,0.097610888,-0.127374504,-0.019457094,0.144601138,0.045651808,0.064576127,0
-0.022932806,-0.113895617,-0.005474159,-0.018281234,-0.127374504,-0.019457094,0.619820132,0.045651808,0.064576127,0
-0.020798564,-0.113895617,-0.005489058,-0.019109172,0.402963343,-0.019457094,-0.933334627,0.045651808,2.456342033,0
-0.042750764,-0.113895617,-0.005485824,-0.019109172,-0.127374504,-0.019457094,0.068734691,0.045651808,0.064576127,0
-0.01740455,-0.113895617,-0.005418066,-0.015861801,-1.731605515,-0.019457094,0.560812895,0.045651808,-1.685915198,0
0.219944067,-0.040358343,-0.005488661,-0.019410328,2.829990489,-0.084922568,1.155100062,2.068641861,0.086173457,0
-0.036334637,-0.113895617,-0.005474786,-0.018659986,-1.893772345,-0.019457094,-1.933296545,-3.506341055,-0.356848707,0
-0.036334637,-0.113895617,-0.005289561,-0.010994139,-0.127374504,-0.019457094,0.135707905,2.130757338,-1.15207349,0
-0.056269862,-0.113895617,-0.005468979,-0.019109172,-0.127374504,-0.019457094,0.144601138,0.045651808,0.064576127,0
-0.036334637,-0.113895617,-0.005489295,-0.019109172,-0.127374504,-0.019457094,0.144601138,0.045651808,0.064576127,0
-0.036334637,-0.113895617,-0.005340514,-0.011215632,-0.127374504,-0.019457094,-1.146182159,0.045651808,0.861462244,0
-0.052584358,-0.113895617,-0.00548937,-0.019562198,0.688690836,-0.019457094,-0.15991835,0.045651808,-0.910626411,0
-0.029968767,-0.113895617,-0.005478276,-0.018532259,-0.524944798,-0.019457094,0.588209112,0.045651808,1.415239948,0
-0.037004729,-0.113895617,-0.005450674,-0.019109172,-0.127374504,-0.019457094,0.183588062,0.045651808,-0.190715395,0
-0.036334637,-0.157408312,-0.005485824,8.05E-05,-0.127374504,-0.019457094,0.144601138,0.045651808,0.064576127,0
-0.043705645,-0.113895617,-0.005485709,-0.019142101,0.05048589,-0.019457094,0.27736742,0.045651808,2.024395423,0
-0.043035553,-0.113895617,-0.005471324,-0.018270898,-1.30962301,-0.019457094,-0.040850176,0.045651808,-1.242893034,0
-0.042030416,-0.113895617,-0.005471924,-0.018139479,-0.458683083,-0.019457094,1.056052201,0.045651808,-1.464404116,0
-0.055264725,-0.113895617,-0.005486489,-0.019229959,0.10628523,-0.019457094,0.53552408,0.045651808,-1.021381952,0
-0.036334637,-0.113895617,-0.005485824,-0.019109172,-0.127374504,-0.019457094,-0.477082246,-1.012436819,0.196928998,0
-0.036334637,-0.325424106,-0.00548163,-0.019109172,-0.127374504,0.115768574,-1.871128206,-2.647324003,0.064576127,0
-0.036334637,-0.113895617,-0.005474128,-0.019109172,-0.127374504,-0.019457094,-0.261073612,-0.749236119,0.064576127,0
