Planet radius,Planet mass,Orbital period,Semi-major axis,Equilibrium temperature,Planet density,Host star temperature,Star luminosity,Star metallicity,Star type,habitability_score,orbital_stability
2.3,4914.89848585,323.21,1.178,797.0,1.33,4874.0,1.97823,-0.26,G8 III,1.6200918404079836,274.3718166383701
2.3,6165.6,326.03,1.29,797.0,1.33,4742.0,2.243,-0.35,G8 III,1.5463892042226215,252.7364341085271
2.3,5434.7,10.3392924,1.21,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.5976416867647445,8.544869752066116
2.3,3337.07,516.22,1.54,797.0,1.33,4340.0,-0.08285999999999999,0.04,K4 III,1.4205460551236584,335.20779220779224
2.3,4684.8142,516.21997,1.53,797.0,1.33,4213.0,-0.08285999999999999,-0.02,G0 V,1.424790177014839,337.39867320261436
2.3,3432.4,10.3392924,1.51,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.4334470614021482,6.847213509933774
2.3,1017.0,10.3392924,0.68,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,2.2417836410671264,15.204841764705881
2.3,1131.15130051,186.76,0.775,797.0,1.33,4888.0,1.83992,-0.21,K0 III,2.0615179864181705,240.9806451612903
2.3,1525.5,185.84,0.83,797.0,1.33,4813.0,1.763,-0.24,K0 III,1.9760146828814429,223.90361445783134
2.3,2559.47216157,1765.0389,2.774,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.1316856725358064,636.2793439077145
2.3,1440.663,10.3392924,2.73,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.1374957720733754,3.787286593406593
2.3,1554.12,1724.0,2.82,797.0,1.33,5613.0,-0.08285999999999999,0.35,K0 V,1.1258053348510233,611.3475177304965
2.3,1506.45,1796.4,2.8,797.0,1.33,5255.0,-0.15,0.51,G0 V,1.1283382629158663,641.5714285714287
2.3,1581.138,1766.0,2.864,797.0,1.33,5280.0,-0.15273,0.4,G0 V,1.1203574169461934,616.6201117318436
2.3,1481.0878,1773.40002,2.93,797.0,1.33,5338.0,-0.08285999999999999,0.41,G0 V,1.112492334100654,605.2559795221842
2.3,1474.67,1773.4,2.77,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,K0 V,1.1322062360979188,640.216606498195
2.3,1541.46777395,1766.41,2.83,797.0,1.33,5314.94,-0.08285999999999999,0.4052,G0 V,1.124552296232373,624.1731448763251
2.3,565.7374,798.5,1.66,797.0,1.33,5750.0,-0.08285999999999999,0.06,G0 V,1.3736050443272259,481.0240963855422
2.3,533.9544,798.5,1.681,797.0,1.33,5674.0,-0.08285999999999999,0.038,G0 V,1.366079403393473,475.0148720999405
2.3,533.93,799.5,1.68,797.0,1.33,5747.0,0.09729,0.06,G0 V,1.3664335010111044,475.89285714285717
2.3,476.7,800.8,1.6,797.0,1.33,5760.0,-0.08285999999999999,0.05,G2.5 V,1.396195405773009,500.49999999999994
2.3,556.83536906,799.45,1.676,797.0,1.33,5711.97,-0.08285999999999999,0.0739,G0 V,1.367854116990193,476.9988066825776
2.3,533.93,799.5,1.68,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G3 V,1.3664335010111044,475.89285714285717
2.3,1373.01871824,578.38,1.45,797.0,1.33,4157.0,2.25435,-0.01,K3 III,1.4608505781868022,398.8827586206897
2.3,3127.3,10.3392924,2.54,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,1.1648961931745838,4.070587559055118
2.3,2926.24614325,982.85,2.476,797.0,1.33,4980.0,1.63367,-0.06,G6 III,1.1750726270977263,396.9507269789984
2.3,3273.5,993.3,2.6,797.0,1.33,4979.0,1.602,-0.052,G6 III,1.1558107903883936,382.0384615384615
2.3,3000.0,10.3392924,330.0,1800.0,1.33,3993.0,-0.40347,-0.0039,G0 V,0.7729224479224481,0.03133118909090909
2.3,4000.0,10.3392924,330.0,1700.0,1.33,4060.0,-0.37,-0.0039,G0 V,0.7729692875585229,0.03133118909090909
2.3,3000.0,10.3392924,330.0,1700.0,1.33,4060.0,-0.37,-0.0039,K7 V,0.7729692875585229,0.03133118909090909
2.3,289.2253,30.3506,0.19,797.0,1.33,4893.0,1.77415,-0.77,G3 IV,6.034353300509851,159.74
2.3,280.64248338,30.33,0.194,797.0,1.33,4816.0,1.87691,-0.78,G3 IV,5.92583458103074,156.34020618556698
2.3,632.46,452.8,1.333,797.0,1.33,5098.0,1.164,-0.03,G0 V,1.5213829526597307,339.6849212303076
2.3,273.32,883.0,2.08,797.0,1.33,5098.0,1.164,-0.03,G0 V,1.2519646365422399,424.5192307692308
2.3,1271.313628,10.3392924,118.0,1450.0,1.33,3100.0,-1.16368,0.01,M V,0.7785659306998904,0.0876211220338983
2.3,4131.79,10.3392924,84.0,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,M5.5/M6,0.7831001676777709,0.12308681428571429
2.3,7786.5,10.3392924,52.0,797.0,1.33,3530.0,-1.72,-0.0039,M3.5 V,0.7904261750037783,0.19883254615384616
2.3,3686.8095212,10.3392924,1950.0,797.0,1.33,5613.0,-2.59,-0.0039,M6 V,0.7717082262858296,0.00530220123076923
2.3,5720.911326,10.3392924,572.0,2369.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.7714595591818083,0.018075686013986014
