pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitable,predicted_habitability_score,habitability_score
2.43818351,3.28,13.2543,0.08208,0.21,3466.0,0.02,0.404,4.17,0.42,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,1.53,0.08,4213.0,-0.02,1.9420000000000004,4.17,1.5950000000000002,1,0.9933333333333332,1.0
1.23,176.0769375,4.6122,0.0345,0.09,3537.0,0.02,0.256,4.17,0.2749999999999999,1,1.0,1.0
1.61,176.0769375,6.92101021,0.11415,0.09,4651.0,0.01,0.7,3.98,0.75,1,0.9966666666666668,1.0
2.52,176.0769375,4.4968604,0.11415,0.09,3827.0,-0.06,0.53,4.57,0.55,1,0.9966666666666668,1.0
2.78,5.12,12.28,0.11415,0.09,3914.0,-0.13,0.512,4.17,0.544,1,0.9933333333333332,1.0
1.857,2.06,8.99,0.11415,0.017,4499.3,0.02,0.664,4.17,0.684,1,0.9933333333333332,1.0
2.43818351,5.46,36.116,0.1417,0.079,3442.0,-0.18,0.299,4.4,0.291,1,1.0,1.0
1.9,6.36,3.1342791,0.033548,0.097,3690.0,0.0,0.515,4.17,0.513,1,1.0,1.0
1.41,176.0769375,1.7666957,0.0226,0.09,3499.0,0.02,0.46,4.17,0.49,1,0.9966666666666668,1.0
1.421,3.07,0.66913923,0.01164,0.09,3470.0,0.01,0.462,1.4,0.466,1,0.9966666666666668,1.0
1.71,176.0769375,54.5094166,0.11415,0.09,4524.0,-0.02,0.68,4.37,0.71,1,0.9966666666666668,1.0
1.73,176.0769375,1.766789062,0.11415,0.09,3827.0,-0.06,0.53,4.57,0.55,1,0.9966666666666668,1.0
1.59,176.0769375,2.211099,0.029,0.09,4503.0,0.02,0.619,4.17,0.948,1,0.9966666666666668,1.0
1.63,176.0769375,4.069427,0.045,0.09,4668.0,0.02,0.667,4.17,0.948,1,1.0,1.0
0.65,176.0769375,0.916140768,0.11415,0.09,4439.0,-0.03,0.67,4.17,0.7,1,0.9966666666666668,1.0
0.615,176.0769375,1.096026,0.01462,0.09,3691.0,0.02,0.318,4.17,0.347,1,1.0,1.0
1.84,176.0769375,5.47666,0.054,0.09,4648.0,0.02,0.674,4.17,0.948,1,1.0,1.0
1.466,176.0769375,4.8026345,0.03144,0.09,3442.0,0.04,0.2106,4.17,0.2749999999999999,1,1.0,1.0
1.51,2.3,13.7815,0.0913,0.017,3841.0,-0.18,0.535,4.17,0.535,1,1.0,1.0
1.51,2.1,23.0923,0.1288,0.01,3841.0,-0.18,0.535,4.17,0.535,1,1.0,1.0
1.73,176.0769375,13.969457,0.09,0.09,3799.0,0.02,0.492,4.17,0.948,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,0.877,0.453,4415.0,-0.25,1.9420000000000004,4.604,1.234,1,1.0,1.0
1.773,7.57,0.9893455,0.11415,0.0,3472.0,0.19,0.45,4.17,0.451,1,0.9966666666666668,1.0
2.43818351,8.4,6.02,0.0531,0.09,3842.0,0.05,0.543,0.48,0.55,1,1.0,1.0
2.62,176.0769375,1.995,0.0142,0.09,3442.0,0.02,0.3,4.17,0.2749999999999999,1,0.9966666666666668,1.0
2.43818351,5.63,13.8508,0.0905,0.363,3805.0,0.13,0.511,4.17,0.515,1,1.0,1.0
2.43818351,6.624,15.53,0.091,0.05,3656.0,-0.23,0.427,4.17,0.426,1,0.9966666666666668,1.0
1.93,176.0769375,22.92881,0.136,0.09,4465.0,0.02,0.582,4.17,0.948,1,1.0,1.0
1.31,176.0769375,16.934402,0.115,0.09,4648.0,0.02,0.674,4.17,0.948,1,1.0,1.0
2.1,176.0769375,24.93,0.1275,0.09,3710.0,0.02,0.549,4.17,0.478,1,1.0,1.0
2.43818351,2.78,11.2201,0.068,0.0,3442.0,-0.19,0.351,6.2,0.33,1,1.0,1.0
2.18,7.32,2.527093,0.0285,0.3,3709.0,0.0,0.469,1.3,0.471,1,1.0,1.0
2.43,176.0769375,3.262,0.0331,0.09,3752.0,0.02,0.505,4.17,0.517,1,1.0,1.0
2.2,176.0769375,6.93,0.0419,0.09,3442.0,0.02,0.298,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,486.2799,92.086427889875,1.5,0.29,4860.0,0.19,1.9420000000000004,4.17,1.3,1,0.9666666666666668,1.0
2.126,4.1,15.532477,0.08608,0.111,3442.0,-0.01,0.3714,4.17,0.3527,1,1.0,1.0
1.24,176.0769375,24.209842,0.146,0.09,4648.0,0.02,0.674,4.17,0.948,1,1.0,1.0
1.401,3.04,1.8805201,0.02107,0.0099,3442.0,-0.01,0.3714,4.17,0.3527,1,1.0,1.0
1.96,176.0769375,10.475464,0.08,0.09,4465.0,0.02,0.582,4.17,0.948,1,1.0,1.0
2.43818351,276.5121,92.086427889875,2.00484242875,0.08,4826.0,0.21,1.9420000000000004,4.3,1.34,1,0.9833333333333332,1.0
1.92,176.0769375,5.97114713,0.050748,0.09,3834.0,0.02,0.491,4.17,0.489,1,1.0,1.0
0.958,3.87,12.761408,0.0668,0.5,3442.0,-0.32,0.2617,4.17,0.2749999999999999,1,1.0,1.0
1.13,176.0769375,2.732756,0.03,0.09,3591.0,0.02,0.471,4.17,0.948,1,1.0,1.0
1.85,176.0769375,16.282493,0.113,0.09,4668.0,0.02,0.667,4.17,0.948,1,1.0,1.0
1.63,176.0769375,1.287076762,0.11415,0.09,4103.0,-0.04,0.6,3.09,0.63,1,0.9933333333333332,1.0
1.41,176.0769375,14.871572,0.094,0.09,3591.0,0.02,0.471,4.17,0.948,1,1.0,1.0
1.672,4.82,11.06201,0.061,0.0,3442.0,-0.07,0.275,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,1.527,5.0688,0.11415,0.09,3442.0,-0.12,0.483,4.17,0.48,1,1.0,1.0
1.13,1.258,2.0439274,0.11415,0.09,3442.0,-0.12,0.483,4.17,0.48,1,1.0,1.0
1.46,176.0769375,1.411229847,0.11415,0.09,4433.0,0.01,0.67,3.55,0.7,1,0.9966666666666668,1.0
1.51,176.0769375,2.75564,0.032,0.09,4321.0,0.02,0.546,4.17,0.948,1,0.9966666666666668,1.0
0.75,176.0769375,16.092361,0.112,0.09,4661.0,0.02,0.671,4.17,0.948,1,1.0,1.0
1.8,176.0769375,63.33627,0.255,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
1.24,176.0769375,31.200751,0.172,0.09,4710.0,0.02,0.672,4.17,0.948,1,0.9966666666666668,1.0
2.43818351,1728.9864384999996,92.086427889875,1.3,0.2,4095.0,-0.38,1.9420000000000004,5.2,1.14,1,0.9966666666666668,1.0
1.64,176.0769375,20.306546,0.122,0.09,4321.0,0.02,0.546,4.17,0.948,1,1.0,1.0
2.43818351,1589.15,92.086427889875,1.7,0.24,4155.0,-0.09,1.9420000000000004,1.6,1.5950000000000002,1,1.0,1.0
0.81,176.0769375,4.159807,0.046,0.09,4632.0,0.02,0.666,4.17,0.948,1,1.0,1.0
0.81,176.0769375,3.173315,0.036,0.09,4498.0,0.02,0.586,4.17,0.948,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,1.45,0.15,4137.0,-0.38,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.18,4137.0,-0.38,1.9420000000000004,4.17,1.5950000000000002,1,1.0,1.0
0.86,176.0769375,13.297004,0.093,0.09,4498.0,0.02,0.586,4.17,0.948,1,1.0,1.0
1.17,176.0769375,0.4090677,0.0071,0.09,3442.0,0.02,0.31,4.17,0.29,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.5305,4500.0,-0.03,1.9420000000000004,4.17,1.5950000000000002,1,0.9933333333333332,1.0
0.98,176.0769375,28.122397,0.163,0.09,4632.0,0.02,0.666,4.17,0.948,1,0.9966666666666668,1.0
1.03,176.0769375,7.054346,0.061,0.09,4262.0,0.02,0.556,4.17,0.948,1,1.0,1.0
1.99,176.0769375,16.19697,0.11415,0.09,4455.0,-0.1,0.696,4.17,0.67,1,1.0,1.0
2.02,176.0769375,6.67199,0.11415,0.09,4455.0,-0.1,0.696,4.17,0.67,1,1.0,1.0
1.2,176.0769375,6.738975,0.056,0.09,3682.0,0.02,0.48,4.17,0.948,1,1.0,1.0
1.32,176.0769375,34.989262,0.177,0.09,4262.0,0.02,0.556,4.17,0.948,1,1.0,1.0
1.84,176.0769375,18.794234,0.111,0.09,3682.0,0.02,0.48,4.17,0.948,1,1.0,1.0
2.4566,176.0769375,11.07085,0.11415,0.09,4570.0,-0.238,0.7007,4.17,0.69,1,0.9933333333333332,1.0
