pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-6 b,0.1506606933313381,-0.1227152091663114,-0.005440976050137893,-0.12737739287788846,-0.01982812812908841,0.23131100699441437,0.09187434966366391,0.3509602782132096,0.04710786240144971,13.38,188.15536,3.234699312,798.0,1.325,5690.0,1.29,1.05,-0.08612,0
Kepler-6 b,0.14594005153658657,-0.1227152091663114,-0.005440976050137893,-0.12737739287788846,-0.01982812812908841,0.1997788930770688,0.07482917778599868,0.4850221815379102,0.04710786240144971,13.101,188.15536,3.234699312,798.0,1.325,5660.0,1.261,1.09,-0.08612,0
Kepler-6 b,-0.03664219078299707,-0.1227152091663114,-0.005440976050143861,-0.12737739287788846,-0.01982812812908841,0.1861149770462191,0.15123856896173907,0.8838563439288942,1.1104934170720584,2.31,188.15536,3.2346993,798.0,1.325,5647.0,1.391,1.209,0.299,0
Kepler-6 b,0.14597932253875723,-0.10290202019200417,-0.005440976050094134,-0.12737739287788846,-0.0687545417832494,0.1861149770462191,0.07482917778599868,0.5654593235327307,0.04710786240144971,13.103321,205.63601,3.2346994,798.0,0.49,5647.0,1.261,1.114,-0.08612,0
Kepler-6 b,0.15116828922324685,-0.1227152091663114,-0.005440976050137893,1.804835678315414,-0.01982812812908841,0.17875748379883846,0.09246211421116954,0.34090563546385666,0.04710786240144971,13.41,188.15536,3.234699312,1355.0,1.325,5640.0,1.291,1.047,-0.08612,0
Kepler-6 b,0.1452463371509779,-0.1227152091663114,-0.005440976050152812,1.8083046425365867,-0.01982812812908841,0.17875748379883846,0.09246211421116954,0.34090563546385666,0.04710786240144971,13.06,188.15536,3.234699282,1356.0,1.325,5640.0,1.291,1.047,-0.08612,0
Kepler-6 b,0.111575809654363,-0.1227152091663114,-0.005440976050019544,1.475284077303989,-0.01982812812908841,0.37425659008638085,-0.0303806762175206,0.6458964655275502,0.04710786240144971,11.07,188.15536,3.23469955,1260.0,1.325,5826.0,1.082,1.138,-0.08612,0
Kepler-6 b,-0.03664219078299707,-0.1227152091663114,-0.005440976050293041,-0.12737739287788846,-0.01982812812908841,0.1861149770462191,0.15123856896173907,0.8838563439288942,1.1104934170720584,2.31,188.15536,3.234699,798.0,1.325,5647.0,1.391,1.209,0.299,0
Kepler-6 b,-0.03664219078299707,-0.1227152091663114,-0.005440976050096471,-0.12737739287788846,-0.01982812812908841,0.15037858127322748,0.10641564456895479,0.14986742322615865,0.8072054306651731,2.31,188.15536,3.2346993953,798.0,1.325,5613.0,1.31474,0.99,0.18916,0
Kepler-6 b,-0.03664219078299707,-0.1227152091663114,-0.005440976050152812,-0.12737739287788846,-0.01982812812908841,0.15037858127322748,0.10641564456895479,0.14986742322615865,0.8072054306651731,2.31,188.15536,3.234699282,798.0,1.325,5613.0,1.31474,0.99,0.18916,0
Kepler-6 b,0.15116828922324685,-0.1227152091663114,-0.005440976050137893,1.804835678315414,-0.01982812812908841,0.17875748379883846,0.09246211421116954,0.34090563546385666,0.04710786240144971,13.41,188.15536,3.234699312,1355.0,1.325,5640.0,1.291,1.047,-0.08612,0
Kepler-6 b,0.1715827131245814,-0.09533698440181414,-0.005440976049994681,2.1690769215385677,-0.07402804744657215,0.1861149770462191,0.15123856896173907,0.8838563439288942,0.04710786240144971,14.616536,212.31044,3.2346996,1460.0,0.4,5647.0,1.391,1.209,-0.08612,0
Kepler-6 b,0.1751944947735952,-0.09498725154920785,-0.005440976038358633,2.3078354903854836,-0.07684058380034428,0.1861149770462191,0.15123856896173907,0.8838563439288942,1.1104934170720584,14.83,212.619,3.234723,1500.0,0.352,5647.0,1.391,1.209,0.299,0
Kepler-6 b,0.14597932253875723,-0.10794537738546421,-0.00544097604880124,2.1378562435480117,-0.0686373527685089,0.1861149770462191,0.07482917778599868,0.5654593235327307,0.04710786240144971,13.103321,201.18639,3.234702,1451.0,0.492,5647.0,1.261,1.114,-0.08612,0
Kepler-6 b,0.14957786016495794,-0.1227152091663114,-0.00544097605258219,1.8727233081237673,-0.01982812812908841,0.15037858127322748,0.10641564456895479,0.04596944814951567,0.04710786240144971,13.31600225,188.15536,3.23469439654,1374.57,1.325,5613.0,1.31474,0.959,-0.08612,0
Kepler-6 b,0.14257299878692506,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,0.1997788930770688,0.08305788145107841,0.04596944814951567,0.04710786240144971,12.902,188.15536,10.3039,798.0,1.325,5660.0,1.275,0.959,-0.08612,0
