pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,disc_year,pl_density,escape_velocity_factor,tidal_heating_indicator,flux_variation,st_type_category,pl_type_category,stellar_compatibility_index,habitability_score_index,hz_conservative,habitable_candidate,hz_optimistic,st_type_category_F,st_type_category_G,st_type_category_K,st_type_category_M,st_type_category_Other,pl_type_category_jupiter,pl_type_category_neptune,pl_type_category_rocky,pl_type_category_super_earth
55 Cnc e,0.73654625026,0.0908,2.02311213,4.26973680649923,0.0,2657.8322,1831.27,5250.0,0.963515,0.938,-0.08,4.42,2004,0.5156336402534485,1.4527489680685608,0.0,0.0,G,super_earth,0.9700000000000001,0.35908504933333335,0,0,0,False,True,False,False,False,False,False,False,True
AU Mic b,8.46308,0.0649,3.95677019,17.002864890275887,0.00577,21.2,600.0,3678.0,0.744,0.51,0.23,4.404,2020,0.27447299579194034,2.07295864615316,21.10773935603009,0.12232399999999999,M,neptune,0.9283333333333333,0.286365,0,0,0,False,False,False,True,False,False,True,False,False
AU Mic b,8.45367765822,0.0908,4.02692583,83.85743081403025,0.0,76.6379,754.62,3588.0,0.698009,0.938,-0.08,4.60198,2020,1.2841645022746853,4.5633519058597525,0.0,0.0,M,neptune,0.9533333333333333,0.293,0,0,0,False,False,False,True,False,False,True,False,False
AU Mic c,18.85969,0.1108,2.52202066,6.723605104752906,0.00338,7.3,459.0,3678.0,0.744,0.51,0.23,4.404,2021,0.4191372681948806,1.6327766430925255,2.4848342186831966,0.024674,M,neptune,0.9283333333333333,0.28756,0,0,0,False,False,False,True,False,False,True,False,False
BD-14 3065 b,4.2889696,0.0908,20.7112,704.9246120717472,0.0,646.761,1404.0,6736.9,2.61,0.938,-0.08,3.76,2024,0.07934633773430315,5.83403064089115,0.0,0.0,F,jupiter,0.8866666666666667,0.28300000000000003,0,0,0,True,False,False,False,False,True,False,False,False
CoRoT-1 b,1.5089635,0.0908,20.5944,699.7609764505903,0.0,2852.63,2036.0,5950.0,1.29,0.938,-0.08,4.32551,2008,0.08011286965063136,5.829083653199336,0.0,0.0,G,jupiter,0.9700000000000001,0.2955,0,0,0,False,True,False,False,False,True,False,False,False
CoRoT-10 b,13.23412611048,0.0908,7.38532555,184.483007502381,0.0,16.1089,510.96,5025.0,0.548929,0.938,-0.08,4.88331,2010,0.4579809755396127,4.997966754773714,0.0,0.0,K,jupiter,0.9866666666666667,0.298,0,0,0,False,False,True,False,False,True,False,False,False
CoRoT-11 b,2.99328197444,0.0908,21.74555811,751.0304729894095,0.0,1890.649,1681.79,6343.0,1.58601,0.938,-0.08,4.13783,2010,0.07303749730066973,5.876835036041905,0.0,0.0,F,jupiter,0.8866666666666667,0.28300000000000003,0,0,0,True,False,False,False,False,True,False,False,False
CoRoT-12 b,2.82803914989,0.0908,17.76037065,577.2493669381225,0.0,661.1334,1293.28,5675.0,1.03674,0.938,-0.08,4.37342,2010,0.10304036541534131,5.701061423391278,0.0,0.0,G,jupiter,0.9700000000000001,0.2955,0,0,0,False,True,False,False,False,True,False,False,False
CoRoT-13 b,4.03504443843,0.0908,12.53306062,366.9020303963428,0.0,546.5339,1233.17,5945.0,1.13707,0.938,-0.08,4.46721,2010,0.18637115397178147,5.410613196314171,0.0,0.0,G,jupiter,0.9700000000000001,0.2955,0,0,0,False,True,False,False,False,True,False,False,False
