pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_spectype,sy_dist,sy_plx,sy_snum,sy_pnum,sy_vmag,sy_gaiamag,discoverymethod,HSI,SCI,OSF,is_habitable,sy_kepmag,pl_masse,pl_cmasse,elat,pl_imppar,pl_msinie,sy_w1mag,ra,sy_pm,sy_pmra,sy_w4mag
11 Com b,11 Com,323.21,0.50775,2.6341,366.2115375,2.258196721311476,0.238,88.81,1.425562303809801,734.7885476093096,0.07974,123.3217331962603,17.58,0.026959,288.63,4874.0,1.84,1.5575,-0.26,1.51365125,2.45,4.1,0.0011311236869277,G8 III,93.1846,10.7104,2,1,4.72307,4.44038,Radial Velocity,3.872699196507576e-15,0.5364773559287225,0.7402290157343728,0,14.2635,4914.898486,4914.898486,18.33392,0.39355,4914.898486,0.639,185.1787793,140.3836266,-109.241,2.27
11 UMi b,11 UMi,516.21997,0.50775,2.6341,366.2115375,2.258196721311476,0.08,88.81,107.15534311797424,820.0140197030238,0.07974,328.3186556024128,17.58,0.026959,189.7,4213.0,1.84,1.5575,-0.02,1.51365125,1.93,1.56,0.0001482696966178,K4 III,125.321,7.95388,1,1,5.013,4.56216,Radial Velocity,3.609881979110735e-20,0.30262349552654444,0.6691023135312031,0,14.2635,4684.8142,4684.8142,74.95821,0.39355,4684.8142,-0.29,229.2745954,10.6790187,3.42996,1.787
14 And b,14 And,186.76,0.50775,2.6341,366.2115375,2.258196721311476,0.0,88.81,3.063342351716961,832.3608026257091,0.07974,90.91715434473323,17.58,0.026959,86.08,4888.0,1.84,1.5575,-0.21,1.51365125,2.55,4.1,0.0016288952703187,K0 III,75.4392,13.2289,1,1,5.23133,4.91781,Radial Velocity,5.70197459156854e-21,0.5380115717902053,0.0001110987668036885,0,14.2635,1131.151301,1131.151301,38.22901,0.39355,1131.151301,11.3815,352.82415,299.2526179,287.292,8.969
16 Cyg B b,16 Cyg B,798.5,0.50775,2.6341,366.2115375,2.258196721311476,0.68,88.81,0.0353062853824938,209.26341320238703,0.07974,17.755257004755336,17.58,0.026959,50.5,5750.0,1.13,1.08,0.06,0.09729,4.36,4.1,1.011029,G2.5 V,21.1397,47.2754,3,1,6.215,6.06428,Radial Velocity,0.001686193826497656,0.7331337262446801,0.31085720816279877,0,6.095,565.7374,565.7374,69.46803,0.39355,565.7374,4.773,295.4656422,211.1222128,-134.791,4.713
17 Sco b,17 Sco,578.38,0.50775,2.6341,366.2115375,2.258196721311476,0.06,88.81,1.0722235434007137,775.2714735357833,0.07974,337.72401912611866,17.58,0.026959,92.4,4157.0,1.84,1.22,-0.01,1.51365125,1.7,5.13,9.878112131097335e-05,K3 III,124.953,7.9805,1,1,5.22606,4.75429,Radial Velocity,2.0312145688609154e-17,0.2810984567395708,0.6635456737838951,0,14.2635,1373.018718,1373.018718,9.21181,0.39355,1373.018718,0.122,243.4620874,10.6681995,-5.62983,1.931
18 Del b,18 Del,982.85,0.50775,2.6341,366.2115375,2.258196721311476,0.024,88.81,0.26647903883746,414.12899731987966,0.07974,114.1040240973507,17.58,0.026959,114.96,4980.0,1.84,1.5575,-0.06,1.51365125,2.87,4.1,0.0043450061044327,G6 III,76.222,13.0922,2,1,5.51048,5.27476,Radial Velocity,0.0004575381255048297,0.567818764406617,0.6417992055882756,0,14.2635,2926.246143,2926.246143,26.78678,0.39355,2926.246143,3.37,314.6078375,60.6038527,-50.0335,3.308
24 Boo b,24 Boo,30.33,0.194,2.6341,280.6424834,2.258196721311476,0.032,88.81,49.87007120841747,1683.944401239436,0.07974,62.25239624226321,17.58,0.026959,55.67,4816.0,1.84,1.05,-0.78,1.51365125,2.28,6.92,0.0008173297269856,G3 IV,95.9863,10.39,1,1,5.59,5.3339,Radial Velocity,1.2437188762739831e-120,0.510647918336996,0.49172033965558287,0,14.2635,280.6424834,280.6424834,58.88795,0.39355,280.6424834,11.3815,217.1555242,307.6469784,-304.064,8.969
24 Sex b,24 Sex,452.8,0.50775,2.6341,366.2115375,2.258196721311476,0.09,88.81,0.6550774978065597,431.1447267095684,0.07974,54.36933685284106,17.58,0.026959,40.0,5098.0,1.84,1.54,-0.03,1.164,3.5,2.7,0.0184565954661748,K,72.0691,13.8488,1,2,6.4535,6.20374,Radial Velocity,0.00024257394966173,0.6103638615429734,0.43106523512539147,0,14.2635,632.46,632.46,-10.19818,0.39355,632.46,4.094,155.8684866,74.6277468,65.2199,4.201
24 Sex c,24 Sex,883.0,0.50775,2.6341,273.32,2.258196721311476,0.29,88.81,0.2690458579881656,345.14889385116584,0.07974,67.94775868944853,17.58,0.026959,14.5,5098.0,1.84,1.54,-0.03,1.164,3.5,2.7,0.0184565954661748,K,72.0691,13.8488,1,2,6.4535,6.20374,Radial Velocity,0.002624384773406746,0.6103638615429734,0.496147154853556,0,14.2635,273.32,273.32,-10.19818,0.39355,273.32,4.094,155.8684866,74.6277468,65.2199,4.201
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,645107.8894833671,0.50775,9.049332515454054,366.2115375,0.0857200624462387,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,92.53138473223711,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,0.03,1.50018,M5.5/M6,380.299,2.600815,2,1,15.788,12.96845,Imaging,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,4131.79,4131.79,-54.69414,0.39355,4131.79,9.047,15.8992489,6.805369089953902,-1.15564,7.817
