pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable,habitability_score,rank
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1,0.9919003859063698,1
Kepler-1652 b,-0.0567768278287115,-0.1227152091663114,-0.0054236400607646,-2.101218034725266,-0.0198281281290884,-2.0894525773222177,-0.4606243249916892,-1.964959101720993,0.0471078624014497,1.12,188.15536,38.0972378,229.0,1.325,3482.0,0.35,0.359,-0.08612,1,0.9919003859063698,1
Kepler-296 e,-0.057792019612529,-0.1227152091663114,-0.0054256068447752,-2.035307714522981,-0.0198281281290884,-2.043205476910111,-0.4412280949240013,-1.84765493631188,0.0471078624014497,1.06,188.15536,34.1420506,248.0,1.325,3526.0,0.383,0.394,-0.08612,1,0.9919003859063698,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1,0.9919003859063698,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1,0.9919003859063698,1
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1,0.9919003859063698,1
Kepler-1649 b,-0.0660827525137055,-0.1227152091663114,-0.0054382637714666,-2.163659390706378,-0.0198281281290884,-2.90823646870929,-0.5969857000130103,-2.846416116080899,0.0471078624014497,0.57,188.15536,8.68907042,211.0,1.325,2703.0,0.118,0.096,-0.08612,1,0.9919003859063698,1
Kepler-1652 b,-0.0567768278287115,-0.1227152091663114,-0.0054236400607646,-2.101218034725266,-0.0198281281290884,-2.0894525773222177,-0.4606243249916892,-1.964959101720993,0.0471078624014497,1.12,188.15536,38.0972378,229.0,1.325,3482.0,0.35,0.359,-0.08612,1,0.9919003859063698,1
Kepler-296 e,-0.0574536223512565,-0.1227152091663114,-0.0054256069246363,-2.0491835714076725,-0.0198281281290884,-2.0526651110853145,-0.4488690340415753,-1.8945766024755253,0.0471078624014497,1.08,188.15536,34.14189,244.0,1.325,3517.0,0.37,0.38,-0.08612,1,0.9919003859063698,1
Kepler-1652 b,-0.0567768278287115,-0.1227152091663114,-0.0054236400607646,-2.101218034725266,-0.0198281281290884,-2.0894525773222177,-0.4606243249916892,-1.964959101720993,0.0471078624014497,1.12,188.15536,38.0972378,229.0,1.325,3482.0,0.35,0.359,-0.08612,1,0.9919003859063698,1
