pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,pl_orbeccen,rank
Kepler-452 b,1,0.9999022196147452,99.99022196147452,1,1.63,265.0,1.1,5757.0,0.0,1
Kepler-452 b,1,0.9999022196147452,99.99022196147452,1,1.09,220.0,0.56,5579.0,0.0,2
Kepler-452 b,1,0.9999022196147452,99.99022196147452,1,1.13,220.0,0.56,5578.0,0.0,3
Kepler-440 b,1,0.9999022196147452,99.99022196147452,1,1.61,229.0,0.65,4133.0,0.0,4
Kepler-1652 b,1,0.9999022196147452,99.99022196147452,1,1.6,268.0,0.81,3638.0,0.0,5
Kepler-1652 b,1,0.9999022196147452,99.99022196147452,1,1.12,229.0,0.65,3482.0,0.0,6
Kepler-1652 b,1,0.9999022196147452,99.99022196147452,1,1.58,242.0,0.81,3554.0,0.0,7
Kepler-1652 b,1,0.9999022196147452,99.99022196147452,1,1.12,229.0,0.65,3482.0,0.0,8
Kepler-1652 b,1,0.9999022196147452,99.99022196147452,1,1.12,229.0,0.65,3482.0,0.0,9
Kepler-1653 b,1,0.9999022196147452,99.99022196147452,1,1.73,257.0,1.04,4771.0,0.0,10
Kepler-440 b,1,0.9999022196147452,99.99022196147452,1,1.47,201.0,0.39,3813.0,0.0,11
Kepler-1653 b,1,0.9999022196147452,99.99022196147452,1,1.73,257.0,1.04,4771.0,0.0,12
Kepler-705 b,1,0.9999022196147452,99.99022196147452,1,1.94,233.0,0.69,3593.0,0.0,13
Kepler-991 b,1,0.9999022196147452,99.99022196147452,1,2.29,252.0,0.95,4237.0,0.0,14
Kepler-62 f,1,0.9999022196147452,99.99022196147452,1,1.42,205.0,0.41,4797.0,0.0,15
Kepler-991 b,1,0.9999022196147452,99.99022196147452,1,2.29,252.0,0.95,4237.0,0.0,16
Kepler-991 b,1,0.9999022196147452,99.99022196147452,1,2.45,260.0,1.08,4316.0,0.0,17
Kepler-705 b,1,0.9999022196147452,99.99022196147452,1,1.96,229.0,0.64,3593.0,0.0,18
Kepler-705 b,1,0.9999022196147452,99.99022196147452,1,1.96,229.0,0.64,3593.0,0.0,19
Kepler-705 b,1,0.9999022196147452,99.99022196147452,1,1.96,229.0,0.64,3593.0,0.0,20
Kepler-1653 b,1,0.9999022196147452,99.99022196147452,1,1.73,257.0,1.04,4771.0,0.0,21
Kepler-1653 b,1,0.9999022196147452,99.99022196147452,1,2.17,284.0,0.98,4807.0,0.0,22
Kepler-440 b,1,0.9999022196147452,99.99022196147452,1,1.47,201.0,0.39,3813.0,0.0,23
Kepler-440 b,1,0.9999022196147452,99.99022196147452,1,1.47,201.0,0.39,3813.0,0.0,24
Kepler-1058 b,1,0.9999022196147452,99.99022196147452,1,2.12,239.0,0.77,4441.0,0.0,25
Kepler-1058 b,1,0.9999022196147452,99.99022196147452,1,2.12,239.0,0.77,4441.0,0.0,26
Kepler-1058 b,1,0.9999022196147452,99.99022196147452,1,2.11,239.0,0.77,4441.0,0.0,27
Kepler-1058 b,1,0.9999022196147452,99.99022196147452,1,2.12,239.0,0.77,4441.0,0.0,28
Kepler-62 f,1,0.9999022196147452,99.99022196147452,1,1.42,205.0,0.41,4797.0,0.0,29
Kepler-991 b,1,0.9999022196147452,99.99022196147452,1,2.29,252.0,0.95,4237.0,0.0,30
Kepler-283 c,1,0.9999022196147452,99.99022196147452,1,1.87,240.0,0.78,4141.0,0.0,31
TOI-715 b,1,0.9999022196147452,99.99022196147452,1,1.55,234.0,0.67,3075.0,0.0,32
TOI-715 b,1,0.9999022196147452,99.99022196147452,1,1.71453082,235.04,0.7213,3075.0,0.0,33
TOI-700 d,1,0.9999022196147452,99.99022196147452,1,1.144,268.8,0.852,3461.0,0.111,34
TOI-700 d,1,0.9999022196147452,99.99022196147452,1,1.32965711,247.18,0.8822,3482.0,0.0,35
Kepler-1410 b,1,0.9999022196147452,99.99022196147452,1,1.39,244.0,0.84,3808.0,0.0,36
Kepler-1410 b,1,0.9999022196147452,99.99022196147452,1,1.56,251.0,0.93,3903.0,0.0,37
Kepler-1410 b,1,0.9999022196147452,99.99022196147452,1,1.56,251.0,0.93,3903.0,0.0,38
Kepler-1410 b,1,0.9999022196147452,99.99022196147452,1,2.15,290.0,1.06,3950.0,0.0,39
Kepler-1410 b,1,0.9999022196147452,99.99022196147452,1,1.56,251.0,0.93,3903.0,0.0,40
Kepler-1540 b,1,0.9999022196147452,99.99022196147452,1,2.3,238.0,0.75,4366.0,0.0,41
Kepler-1552 b,1,0.9999022196147452,99.99022196147452,1,2.17,251.0,0.94,5220.0,0.0,42
Kepler-1649 b,1,0.9999022196147452,99.99022196147452,1,0.57,211.0,0.47,2703.0,0.0,43
Kepler-1552 b,1,0.9999022196147452,99.99022196147452,1,2.17,251.0,0.94,5220.0,0.0,44
Kepler-442 b,1,0.9999022196147452,99.99022196147452,1,1.56,260.0,1.08,4569.0,0.0,45
Kepler-1552 b,1,0.9999022196147452,99.99022196147452,1,2.17,251.0,0.94,5220.0,0.0,46
Kepler-1649 b,1,0.9999022196147452,99.99022196147452,1,0.57,211.0,0.47,2703.0,0.0,47
Kepler-1649 c,1,0.9999022196147452,99.99022196147452,1,1.06,234.0,0.75,3240.0,0.0,48
Kepler-443 b,1,0.9999022196147452,99.99022196147452,1,2.2,246.0,0.86,4907.0,0.0,49
Kepler-443 b,1,0.9999022196147452,99.99022196147452,1,2.2,246.0,0.86,4907.0,0.0,50
