pl_name,habitability_probability,habitability_score,predicted_class,actual_label,rank
Kepler-1652 b,0.9999558,99.995575,1,1,1
Kepler-1652 b,0.9999558,99.995575,1,1,2
Kepler-1652 b,0.9999558,99.995575,1,1,3
Kepler-443 b,0.999938,99.993805,1,1,4
Kepler-991 b,0.9999337,99.99337,1,1,5
Kepler-991 b,0.9999337,99.99337,1,1,6
Kepler-991 b,0.9999337,99.99337,1,1,7
Kepler-1058 b,0.99993265,99.99326,1,1,8
Kepler-1058 b,0.99993265,99.99326,1,1,9
Kepler-1058 b,0.99993265,99.99326,1,1,10
Kepler-1362 b,0.9999304,99.99304,1,1,11
Kepler-1362 b,0.9999304,99.99304,1,1,12
Kepler-1362 b,0.9999304,99.99304,1,1,13
Kepler-1652 b,0.9999231,99.99231,1,1,14
Kepler-296 f,0.9999205,99.99205,1,1,15
Kepler-296 f,0.9999205,99.99205,1,1,16
Kepler-296 f,0.9999205,99.99205,1,1,17
Kepler-1058 b,0.9999143,99.99143,1,1,18
Kepler-1540 b,0.9999018,99.99017,1,1,19
Kepler-1540 b,0.9999018,99.99017,1,1,20
Kepler-1540 b,0.9999018,99.99017,1,1,21
Kepler-296 e,0.9998963,99.98963,1,1,22
Kepler-296 e,0.9998963,99.98963,1,1,23
Kepler-296 e,0.9998963,99.98963,1,1,24
Kepler-309 c,0.9998956,99.989555,1,1,25
Kepler-309 c,0.9998956,99.989555,1,1,26
Kepler-309 c,0.9998956,99.989555,1,1,27
Kepler-440 b,0.9998834,99.98834,1,1,28
Kepler-440 b,0.9998834,99.98834,1,1,29
Kepler-440 b,0.9998834,99.98834,1,1,30
Kepler-1652 b,0.9998808,99.98808,1,1,31
TOI-904 c,0.99987864,99.98786,1,1,32
Kepler-440 b,0.9998646,99.98646,1,1,33
Kepler-1362 b,0.99986136,99.98614,1,1,34
Kepler-62 f,0.9998518,99.98518,1,1,35
Kepler-62 f,0.9998518,99.98518,1,1,36
Kepler-62 f,0.9998518,99.98518,1,1,37
Kepler-442 b,0.9998468,99.98468,1,1,38
Kepler-442 b,0.9998468,99.98468,1,1,39
Kepler-442 b,0.9998468,99.98468,1,1,40
LHS 1140 b,0.999843,99.9843,1,1,41
Kepler-1544 b,0.99984205,99.98421,1,1,42
