rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
1,TOI-815 c,TOI-815,0.7573117803633164,75.73117803633164,1,0,2024
2,TOI-6041 b,TOI-6041,0.5336913243077073,53.369132430770726,1,0,2025
3,Kepler-167 e,Kepler-167,0.5016591969113847,50.16591969113847,1,0,2016
4,Kepler-167 e,Kepler-167,0.4868006813802405,48.680068138024055,0,0,2016
5,Kepler-167 e,Kepler-167,0.4488621399322895,44.88621399322895,0,0,2016
6,Kepler-167 e,Kepler-167,0.4488621399322895,44.88621399322895,0,0,2016
7,Kepler-1654 b,Kepler-1654,0.42720095958014676,42.720095958014674,0,0,2018
8,HD 106315 c,HD 106315,0.26119440402961075,26.119440402961075,0,0,2017
9,Kepler-1632 b,Kepler-1632,0.2587667163577361,25.87667163577361,0,1,2016
10,Kepler-1632 b,Kepler-1632,0.2587667163577361,25.87667163577361,0,1,2016
11,Kepler-174 d,Kepler-174,0.257061373939086,25.7061373939086,0,0,2014
12,Kepler-174 d,Kepler-174,0.257061373939086,25.7061373939086,0,0,2014
13,Kepler-174 d,Kepler-174,0.257061373939086,25.7061373939086,0,0,2014
14,Kepler-174 d,Kepler-174,0.24988174931914414,24.988174931914415,0,1,2014
15,Kepler-452 b,Kepler-452,0.22886369977570004,22.886369977570002,0,1,2015
16,Kepler-62 f,Kepler-62,0.22728614359956914,22.728614359956914,0,1,2013
17,Kepler-62 f,Kepler-62,0.22137835896241595,22.137835896241594,0,1,2013
18,Kepler-62 f,Kepler-62,0.22137835896241595,22.137835896241594,0,1,2013
19,Kepler-62 f,Kepler-62,0.22137835896241595,22.137835896241594,0,1,2013
20,Kepler-452 b,Kepler-452,0.21381212440427233,21.381212440427234,0,1,2015
21,Kepler-452 b,Kepler-452,0.213347070673926,21.3347070673926,0,1,2015
22,Kepler-1593 b,Kepler-1593,0.2130326974370357,21.30326974370357,0,0,2016
23,Kepler-1593 b,Kepler-1593,0.21198816328507375,21.198816328507377,0,0,2016
24,Kepler-1593 b,Kepler-1593,0.21198816328507375,21.198816328507377,0,0,2016
25,Kepler-1593 b,Kepler-1593,0.21198816328507375,21.198816328507377,0,0,2016
26,Kepler-441 b,Kepler-441,0.19998783743573134,19.998783743573135,0,0,2015
27,Kepler-1704 b,Kepler-1704,0.18311343996660634,18.311343996660632,0,0,2013
28,Kepler-1704 b,Kepler-1704,0.18311343996660634,18.311343996660632,0,0,2013
29,Kepler-441 b,Kepler-441,0.16676952404844342,16.676952404844343,0,0,2015
30,Kepler-441 b,Kepler-441,0.16676952404844342,16.676952404844343,0,0,2015
31,Kepler-441 b,Kepler-441,0.16676952404844342,16.676952404844343,0,0,2015
32,Kepler-22 b,Kepler-22,0.12969583515463973,12.969583515463972,0,0,2011
33,Kepler-22 b,Kepler-22,0.12969583515463973,12.969583515463972,0,0,2011
34,Kepler-22 b,Kepler-22,0.12969583515463973,12.969583515463972,0,0,2011
35,Kepler-443 b,Kepler-443,0.12854567848881443,12.854567848881443,0,1,2015
36,Kepler-443 b,Kepler-443,0.12778329521931248,12.778329521931248,0,1,2015
37,Kepler-443 b,Kepler-443,0.12778329521931248,12.778329521931248,0,1,2015
38,Kepler-443 b,Kepler-443,0.12778329521931248,12.778329521931248,0,1,2015
39,Kepler-1544 b,Kepler-1544,0.12303789182179947,12.303789182179948,0,1,2016
40,Kepler-1544 b,Kepler-1544,0.12099660042974572,12.099660042974572,0,1,2016
41,Kepler-22 b,Kepler-22,0.12005776314399812,12.005776314399812,0,0,2011
42,Kepler-1701 b,Kepler-1701,0.11985255523173992,11.985255523173992,0,0,2020
43,Kepler-1638 b,Kepler-1638,0.1188562559504791,11.88562559504791,0,0,2016
44,Kepler-22 b,Kepler-22,0.11710438547133122,11.710438547133121,0,1,2011
45,Kepler-1544 b,Kepler-1544,0.11616650358351441,11.61665035835144,0,1,2016
46,Kepler-1544 b,Kepler-1544,0.11616650358351441,11.61665035835144,0,1,2016
47,Kepler-1544 b,Kepler-1544,0.11616650358351441,11.61665035835144,0,1,2016
48,Kepler-1630 b,Kepler-1630,0.11596492749970459,11.596492749970459,0,0,2016
49,Kepler-1630 b,Kepler-1630,0.11596492749970459,11.596492749970459,0,0,2016
50,Kepler-1638 b,Kepler-1638,0.1121396559318731,11.213965593187309,0,0,2016
51,Kepler-1638 b,Kepler-1638,0.1121396559318731,11.213965593187309,0,0,2016
52,Kepler-421 b,Kepler-421,0.10942065552474263,10.942065552474263,0,0,2014
53,Kepler-421 b,Kepler-421,0.10942065552474263,10.942065552474263,0,0,2014
54,Kepler-1653 b,Kepler-1653,0.09475915170839949,9.475915170839949,0,1,2017
55,Kepler-1653 b,Kepler-1653,0.09473955849328239,9.473955849328238,0,1,2017
56,Kepler-1653 b,Kepler-1653,0.09473955849328239,9.473955849328238,0,1,2017
57,Kepler-1653 b,Kepler-1653,0.09473955849328239,9.473955849328238,0,1,2017
58,Kepler-1229 b,Kepler-1229,0.09135161722577582,9.135161722577582,0,0,2016
59,Kepler-1058 b,Kepler-1058,0.09123052196355859,9.123052196355859,0,1,2016
60,Kepler-1058 b,Kepler-1058,0.09120450425522046,9.120450425522046,0,1,2016
