pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
K2-3 d,-0.0501780812338975,-0.1227152091663114,-0.0054204264270316,-1.9173629310031024,-0.0198281281290884,-1.654309405262849,-0.3371937700154933,-1.1572361341896724,0.0471078624014497,1.51,188.15536,44.55983,282.0,1.325,3896.0,0.56,0.6,-0.08612,1
K2-3 d,-0.051057914113206,-0.3334836124273647,-0.0054204283166461,-1.836882961071892,-0.0198281281290884,-1.708965069386248,-0.345422473680573,-1.3281650609286653,-3.1151056622946656,1.458,2.2,44.55603,305.2,1.325,3844.0,0.546,0.549,-1.23136,1
K2-3 d,-0.0500088826032612,-0.3328035511376194,-0.0054204281048104,-1.9173629310031024,0.2318352810261469,-1.654309405262849,-0.3366060054679876,-1.1538845866065548,0.0471078624014497,1.52,2.8,44.556456,282.0,5.62,3896.0,0.561,0.601,-0.08612,1
K2-9 b,-0.0486552935581712,-0.1227152091663114,-0.0054334105652544,-1.9104250025607568,-0.0198281281290884,-2.104167563816979,-0.5194007797422587,-2.363793264111977,0.0471078624014497,1.6,188.15536,18.44883,284.0,1.325,3468.0,0.25,0.24,-0.08612,1
TRAPPIST-1 d,-0.0621235045568171,-0.3355373975223951,-0.0054405710163891,-1.903487074118411,-0.0198281281290884,-3.052233122265168,-0.5962803825560036,-2.867195711096228,-8.70900737880571,0.804,0.388,4.049219,286.0,1.325,2566.0,0.1192,0.0898,-3.25727,1
TRAPPIST-1 d,-0.0626649401748532,-0.3355124619417711,-0.0054405708219577,-1.8965491456760653,0.189647235719565,-3.059590615512549,-0.5975734645605161,-2.899370567894156,-8.773618985523855,0.772,0.41,4.04961,288.0,4.9,2559.0,0.117,0.0802,-3.28067,1
TRAPPIST-1 e,-0.0601946401675638,-0.3352744404903603,-0.0054395514221539,-2.0238601325931103,0.1603499820344386,-3.059590615512549,-0.5975734645605161,-2.899370567894156,-8.773618985523855,0.918,0.62,6.099615,251.3,4.4,2559.0,0.117,0.0802,-3.28067,1
TRAPPIST-1 f,-0.0580458175584834,-0.3352064343613858,-0.0054380063763391,-2.135907676936995,0.0958960239271606,-3.059590615512549,-0.5975734645605161,-2.899370567894156,-8.773618985523855,1.045,0.68,9.20669,219.0,3.3,2559.0,0.117,0.0802,-3.28067,1
LHS 1140 b,-0.0515316702789875,-0.3284398245284211,-0.0054302836062507,-2.097749070504093,0.6349654917334854,-2.4583783101551604,-0.5570177107826232,-2.6788387369250235,-6.688845420549432,1.43,6.65,24.73712,230.0,12.5,3131.0,0.186,0.146,-2.52564,1
TOI-700 d,-0.0563707511151844,-0.1227152091663114,-0.0054239744667447,-1.9631532587225848,-0.0198281281290884,-2.11152505706436,-0.4171297484762678,-1.7772724370664126,-4.228275288295538,1.144,188.15536,37.42475,268.8,1.325,3461.0,0.424,0.415,-1.63451,1
