Planet_Name,Prediction,Habitability_Probability
Kepler-1750 b,1,0.999918
Kepler-1750 b,1,0.999918
Kepler-297 d,1,0.999918
Kepler-1750 b,1,0.999918
Kepler-281 d,1,0.999905
Kepler-281 d,1,0.999905
Kepler-281 d,1,0.999905
Kepler-108 c,1,0.999905
Kepler-920 c,1,0.999905
Kepler-920 c,1,0.999905
Kepler-920 c,1,0.999905
Kepler-1678 b,1,0.999905
Kepler-281 d,1,0.999905
Kepler-867 b,1,0.999905
Kepler-1090 b,1,0.9998863
Kepler-610 c,1,0.9998826
Kepler-610 c,1,0.9998826
Kepler-610 c,1,0.9998826
Kepler-1548 b,1,0.9998826
Kepler-1126 b,1,0.9998723
Kepler-1126 c,1,0.9998723
Kepler-1718 b,1,0.9998708
Kepler-1718 b,1,0.99985206
Kepler-610 c,1,0.99985206
Kepler-1227 b,1,0.99985206
Kepler-553 c,1,0.9998282
Kepler-553 c,1,0.9998282
Kepler-30 d,1,0.9998282
Kepler-1554 b,1,0.9998282
Kepler-920 c,1,0.9998282
Kepler-553 c,1,0.9998282
Kepler-149 d,1,0.9998282
TOI-2180 b,1,0.9998173
Kepler-725 c,1,0.99981695
PH2 b,1,0.99981517
Kepler-1704 b,1,0.99981517
Kepler-1549 b,1,0.9997968
Kepler-549 c,1,0.99979454
Kepler-1690 b,1,0.99978787
HAT-P-13 c,1,0.9997744
Kepler-1090 b,1,0.9997694
Kepler-1090 b,1,0.9997694
Kepler-1090 b,1,0.9997694
Kepler-22 b,1,0.9997694
Kepler-69 c,1,0.9997547
Kepler-1606 b,1,0.9997358
Kepler-315 c,1,0.99971825
Kepler-315 c,1,0.99971825
Kepler-315 c,1,0.99971825
Kepler-1513 b,1,0.9997042
Kepler-1513 b,1,0.9997042
Kepler-1513 b,1,0.9997042
Kepler-1513 b,1,0.9997042
Kepler-315 c,1,0.99970067
Kepler-782 b,1,0.99970067
Kepler-1750 b,1,0.9996573
Kepler-11 g,1,0.9996573
Kepler-985 b,1,0.9996573
Kepler-11 g,1,0.9996573
Kepler-218 d,1,0.9996573
Kepler-11 g,1,0.9996573
Kepler-11 g,1,0.9996573
Kepler-11 g,1,0.9996573
Kepler-1810 b,1,0.9996573
KOI-3680 b,1,0.9996573
Kepler-1538 b,1,0.9996573
Kepler-266 c,1,0.9996573
Kepler-139 c,1,0.9996573
Kepler-1690 b,1,0.9996573
Kepler-630 b,1,0.9996531
Kepler-1801 c,1,0.9996531
Kepler-1801 c,1,0.9996531
Kepler-1801 c,1,0.9996531
Kepler-1801 c,1,0.9996531
Kepler-1810 b,1,0.9996531
Kepler-985 b,1,0.9996531
Kepler-985 b,1,0.9996531
Kepler-1810 b,1,0.9996531
Kepler-1810 b,1,0.9996531
Kepler-1810 b,1,0.9996531
Kepler-985 b,1,0.9996531
PH2 b,1,0.9996531
Kepler-511 b,1,0.9996531
Kepler-344 c,1,0.9996531
Kepler-344 c,1,0.9996531
Kepler-344 c,1,0.9996531
Kepler-344 c,1,0.9996531
Kepler-344 c,1,0.9996531
Kepler-539 b,1,0.9996221
Kepler-539 b,1,0.9996221
Kepler-539 b,1,0.9996221
KOI-3680 b,1,0.9996221
Kepler-1294 b,1,0.99959284
Kepler-1750 b,1,0.99959284
Kepler-218 d,1,0.99958986
Kepler-218 d,1,0.99958986
Kepler-218 d,1,0.99958986
Kepler-218 d,1,0.99958986
Kepler-849 b,1,0.99958247
Kepler-139 c,1,0.9995766
WASP-47 c,1,0.9995766
HD 109286 b,1,0.9995766
Kepler-539 c,1,0.9995715
Kepler-69 c,1,0.99953973
Kepler-22 b,1,0.99953973
Kepler-22 b,1,0.99953973
Kepler-22 b,1,0.99953973
Kepler-1718 b,1,0.99953973
Kepler-1718 b,1,0.99953973
Kepler-1718 b,1,0.99953973
Kepler-69 c,1,0.99953973
Kepler-69 c,1,0.99953973
Kepler-69 c,1,0.99953973
Kepler-1040 b,1,0.9994667
