pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
,,323.21,1.178,,,4874.0,1.97823,-0.26,G8 III
,,326.03,1.29,,,4742.0,2.243,-0.35,G8 III
,,,1.21,,,,,,
,,516.22,1.54,,,4340.0,,0.04,K4 III
,,516.21997,1.53,,,4213.0,,-0.02,
,,,1.51,,,,,,
,,,0.68,,,,,,
,,186.76,0.775,,,4888.0,1.83992,-0.21,K0 III
,,185.84,0.83,,,4813.0,1.763,-0.24,K0 III
,2559.47216157,1765.0389,2.774,,,,,,
,,,2.73,,,,,,
,,1724.0,2.82,,,,,0.35,K0 V
,,1796.4,2.8,,,5255.0,-0.15,0.51,
,,1766.0,2.864,,,5280.0,-0.15273,0.4,
,,1773.40002,2.93,,,5338.0,,0.41,
,,1773.4,2.77,,,,,,K0 V
,,1766.41,2.83,,,5314.94,,0.4052,
,,798.5,1.66,,,5750.0,,0.06,
,,798.5,1.681,,,5674.0,,0.038,
,,799.5,1.68,,,5747.0,0.09729,0.06,
,,800.8,1.6,,,5760.0,,0.05,G2.5 V
,,799.45,1.676,,,5711.97,,0.0739,
,,799.5,1.68,,,,,,G3 V
,,578.38,1.45,,,4157.0,2.25435,-0.01,K3 III
,,,2.54,,,,,,
,,982.85,2.476,,,4980.0,1.63367,-0.06,G6 III
,,993.3,2.6,,,4979.0,1.602,-0.052,G6 III
,3000.0,,330.0,1800.0,,3993.0,-0.40347,,
,4000.0,,330.0,1700.0,,4060.0,-0.37,,
18.647,2543.0,,330.0,1800.0,,4060.0,,,K7 V
,3000.0,,330.0,1700.0,,4060.0,-0.37,,K7 V
,,30.3506,0.19,,,4893.0,1.77415,-0.77,G3 IV
,,30.33,0.194,,,4816.0,1.87691,-0.78,G3 IV
,,452.8,1.333,,,5098.0,1.164,-0.03,
,,883.0,2.08,,,5098.0,1.164,-0.03,
,1271.313628,,118.0,1450.0,,3100.0,-1.16368,0.01,M V
,4131.79,,84.0,,,,,,M5.5/M6
11.209,,,,1600.0,,3309.0,-1.83849,,
,7786.5,,52.0,,,3530.0,-1.72,,M3.5 V
16.14096,4417.837,,156.0,,,3064.0,-2.23,,M6
,3686.8095212,,1950.0,,,,-2.59,,M6 V
,5720.911326,,572.0,2369.0,,,,,
,2383.6,,15.0,,,,,,M8.5
,8899.195396,,266.0,2677.0,,,,,
,6356.56814,,587.0,2506.0,,,,,
,1589.15,,55.0,1250.0,,,,,M8
,1271.0,,46.0,1150.0,,2825.0,-2.56086,,
,603.877,416.0,0.92,,,,,,
,,406.0,,,,29564.0,,,
,3813.940884,,7493.0,1616.0,,,,,
,3972.875,,230.0,,,4045.0,,,K7 V
,9534.85221,,518.0,1600.0,,,,,M3
,,270.27,0.877,,,4415.0,,-0.25,K1 III
,,269.3,0.87,,,4415.0,,-0.25,K1 III
,,1076.6,2.059,,,5829.16,,0.0256,
,,1078.0,2.1,,,5872.0,0.1978,0.04,
,,1083.2,2.11,,,,,,G1 V
,,1076.6,2.1,,,5882.0,,0.04,G0 V
,,1100.8,2.11,,,,,,
,,2391.0,3.6,,,5872.0,0.1978,0.04,
,,7586.0,7.73,,,,,,G1 V
,,2287.0,3.404,,,5829.16,,0.0256,
,,14002.0,11.6,,,5872.0,0.1978,0.04,
,,19000.0,13.8,,,5829.16,,0.0256,
,635.66,,13.2,700.0,,,0.85,-0.027,F0 IV
,3464.3296363,9100.0,10.4,,,,,,
,,11688.0,12.0,,,7295.0,0.75157,,
,,14965.0,14.0,,,7295.0,0.75157,,
,,4.2307969,0.05235,,,5760.76,,0.2058,
,,4.23077,0.052,,,,,,
,,4.230785,0.0527,,,5758.0,0.13631,0.18,
,,4.2293,,,,5773.0,,0.2,
,146.2018,4.231,0.052,,,,,,
,,6.7994,0.044,,,3286.0,,0.16,M4.5 V
,,33.747,0.13,,,3286.0,,0.16,M4.5 V
,,14.647,0.115,,,,,,
,266.966,14.465314,0.11339,,,5250.0,-0.19695,0.35,
,,14.653,0.115,,,,,0.27,G8 V
,263.9785,14.65152,0.11522725,,,,,,
,,14.65162,0.115,,,5250.0,-0.19695,0.35,
,,14.651,0.1134,,,5250.0,-0.19695,0.35,
,,14.65126,0.1138,,,5250.0,-0.19695,0.35,
,,14.65171,0.1162,,,5317.89,,0.3833,
,,14.6516,0.1134,,,5172.0,,0.35,
,254.25,14.6,0.113,700.0,,,,,K0 IV-V
,,14.651552,0.118,,,5198.0,,0.39,G8 V
,,14.648,0.11,,,5200.0,,0.23,G8 V
,,14.67,0.115,,,,,,
,,44.3446,0.24,,,5250.0,-0.19695,0.35,
,56.6985,44.373,0.23735,,,5250.0,-0.19695,0.35,
,,44.38,0.237,,,5250.0,-0.19695,0.35,
,,44.3936,0.247,,,5198.0,,0.39,G8 V
,54.4738,44.4175,0.241376,,,,,,
,,44.3989,0.2373,,,5172.0,,0.35,
,,44.3787,0.238,,,5250.0,-0.19695,0.35,
,,43.93,0.24,,,,,,
,,44.3827,0.2432,,,5317.89,,0.3833,
,,4820.0,5.54,,,5317.89,,0.3833,
,1232.493,4825.0,5.503,,,,,,
,,4545.0,5.28,,,,,,
,,5218.0,5.77,,,5250.0,-0.19695,0.35,
,,5574.2,5.957,,,5172.0,,0.35,
,,5360.0,5.9,,,,,0.27,G8 V
,,4517.4,5.257,,,,,,
,,4909.0,5.47,,,5250.0,-0.19695,0.35,
,1226.77,4867.0,5.446,,,5250.0,-0.19695,0.35,
,,5370.0,5.84,,,5250.0,-0.19695,0.35,
,,4799.0,5.6,,,5198.0,,0.39,G8 V
2.08,7.81,0.7365437,0.01544,1958.0,4.78,5234.0,,0.31,
,8.13928,0.7365515,0.015690907,,,,,,
1.92,8.08,,0.01544,,6.3,5250.0,-0.19695,0.35,
,,,,,,5250.0,-0.19695,0.35,
1.897,7.74,0.737,,,6.25,5172.0,,0.35,
2.0,8.63,0.73654,0.01583,,5.9,,,,G8 V
,,0.73654604,,,,,,,
,,0.7365445,0.01583,,,5317.89,,0.3833,
2.173,8.37,0.736546,0.01583,,4.5,5250.0,-0.19695,0.35,
,,0.7365417,,,,,,,
,,0.736546,0.016,,,5198.0,,0.39,G8 V
,8.09479,0.7365478,0.015439,,,5250.0,-0.19695,0.35,
,,2.79674,0.0377,,,5250.0,-0.19695,0.35,
,,2.808,0.038,,,,,,
2.02311213,,0.73654625026,,1831.27,,5250.0,,,
1.91,8.08,0.736539,0.01544,,6.4,5250.0,-0.19695,0.35,
1.947,8.59,0.7365474,,,6.421,,,,
1.875,7.99,0.7365474,0.01544,,6.66,5172.0,,0.35,
,,0.73654625,,,,5234.0,,0.31,
1.856,,0.736543,,,,5272.0,,0.37,
,,260.7,0.775,,,5250.0,-0.19695,0.35,
,44.812,262.0,0.788,,,,,,
,,261.2,0.77,,,5250.0,-0.19695,0.35,
,,260.0,0.781,,,5250.0,-0.19695,0.35,
,47.0051,260.91,0.7733,,,5250.0,-0.19695,0.35,
,,260.98,0.792,,,5317.89,,0.3833,
,,259.88,0.7708,,,5172.0,,0.35,
,,260.58,0.802,,,5198.0,,0.39,G8 V
,,899.0,2.2,,,4978.0,1.176,-0.13,K0 IV
,,874.774,2.18,,,,,,
,,934.3,2.11,,,4938.0,,,
,,919.86,2.028,,,4941.0,1.1186,-0.17,K0 IV
,,4.215,0.050201,,,5577.0,-0.095,-0.01,G5 V
,,4.21487,0.04956,,,5585.57,,0.0275,
,,38.021,0.2175,,,5577.0,-0.095,-0.01,G5 V
,,38.0957,0.2151,,,5585.57,,0.0275,
,,123.01,0.476,,,5577.0,-0.095,-0.01,G5 V
,,735.1,1.758,,,4826.0,1.06258,0.21,
,,796.0,1.93,,,4794.52,,0.0882,
,,,1.8,,,,1.121,,
,,763.0,1.9,,,4792.0,1.053,0.21,K1 III
,,,2.205,,,,1.121,,
,,996.0,2.153,,,4826.0,1.06258,0.21,
,,116.6926,0.481,,,5439.0,0.4513,-0.09,
