planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,star_type
2.3,154.306465,323.21,1.178,797.0,1.33,4874.0,1.97823,-0.26,G8 III
2.3,154.306465,326.03,1.29,797.0,1.33,4742.0,2.243,-0.35,G8 III
2.3,154.306465,10.3392924,1.21,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,516.22,1.54,797.0,1.33,4340.0,-0.0828599999999999,0.04,K4 III
2.3,154.306465,516.21997,1.53,797.0,1.33,4213.0,-0.0828599999999999,-0.02,G0 V
2.3,154.306465,10.3392924,1.51,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,10.3392924,0.68,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,186.76,0.775,797.0,1.33,4888.0,1.83992,-0.21,K0 III
2.3,154.306465,185.84,0.83,797.0,1.33,4813.0,1.763,-0.24,K0 III
2.3,154.306465,10.3392924,2.73,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1724.0,2.82,797.0,1.33,5613.0,-0.0828599999999999,0.35,K0 V
2.3,154.306465,1796.4,2.8,797.0,1.33,5255.0,-0.15,0.51,G0 V
2.3,154.306465,1766.0,2.864,797.0,1.33,5280.0,-0.15273,0.4,G0 V
2.3,154.306465,1773.40002,2.93,797.0,1.33,5338.0,-0.0828599999999999,0.41,G0 V
2.3,154.306465,1773.4,2.77,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,K0 V
2.3,154.306465,1766.41,2.83,797.0,1.33,5314.94,-0.0828599999999999,0.4052,G0 V
2.3,154.306465,798.5,1.66,797.0,1.33,5750.0,-0.0828599999999999,0.06,G0 V
2.3,154.306465,798.5,1.681,797.0,1.33,5674.0,-0.0828599999999999,0.038,G0 V
2.3,154.306465,799.5,1.68,797.0,1.33,5747.0,0.09729,0.06,G0 V
2.3,154.306465,800.8,1.6,797.0,1.33,5760.0,-0.0828599999999999,0.05,G2.5 V
2.3,154.306465,799.45,1.676,797.0,1.33,5711.97,-0.0828599999999999,0.0739,G0 V
2.3,154.306465,799.5,1.68,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G3 V
2.3,154.306465,578.38,1.45,797.0,1.33,4157.0,2.25435,-0.01,K3 III
2.3,154.306465,10.3392924,2.54,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,982.85,2.476,797.0,1.33,4980.0,1.63367,-0.06,G6 III
2.3,154.306465,993.3,2.6,797.0,1.33,4979.0,1.602,-0.052,G6 III
2.3,154.306465,30.3506,0.19,797.0,1.33,4893.0,1.77415,-0.77,G3 IV
2.3,154.306465,30.33,0.194,797.0,1.33,4816.0,1.87691,-0.78,G3 IV
