,pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitability_score,habitable
0,2.43818351,1728.9864384999996,92.086427889875,1.178,0.238,4874.0,-0.26,1.9420000000000004,4.17,1.5950000000000002,-5.924898431410267,1
1,2.43818351,1728.9864384999996,92.086427889875,1.53,0.08,4213.0,-0.02,1.9420000000000004,4.17,1.5950000000000002,-4.954054553390472,1
2,2.43818351,1131.151301,92.086427889875,0.775,0.0,4888.0,-0.21,1.9420000000000004,4.17,1.5950000000000002,-6.004779506403257,0
3,2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.373,5551.0,0.02,0.95,4.17,0.91,-6.741177275222223,0
4,2.43818351,565.7374,92.086427889875,1.66,0.5305,5750.0,0.06,1.13,4.17,1.08,-7.06928108833897,0
5,2.43818351,1373.018718,92.086427889875,1.45,0.06,4157.0,-0.01,1.9420000000000004,5.13,1.22,-4.888274121627294,1
6,2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.024,4980.0,-0.06,1.9420000000000004,4.17,1.5950000000000002,-5.948121719666667,1
7,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,4060.0,0.02,0.95,0.005,0.85,-4.670343941888889,1
8,2.43818351,280.6424834,30.33,0.194,0.032,4816.0,-0.38,1.9420000000000004,4.17,1.05,-5.991910231834288,0
9,2.43818351,632.46,92.086427889875,1.333,0.09,5098.0,-0.03,1.9420000000000004,2.7,1.54,-6.212764684618091,0
10,2.43818351,273.32,92.086427889875,2.00484242875,0.29,5098.0,-0.03,1.9420000000000004,2.7,1.54,-6.112010608555556,0
11,2.43818351,1271.313628,11.087324335,2.00484242875,0.09,3442.0,0.01,0.84,0.0025,0.2749999999999999,-3.812010608555556,1
12,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.03,0.2749999999999999,-6.741177275222223,0
13,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,3530.0,0.02,0.95,0.12,0.4,-3.934232830777778,1
14,7.777125000000002,1728.9864384999996,11.087324335,2.00484242875,0.09,3442.0,0.02,0.281,0.035,0.2749999999999999,-5.413693055555557,1
15,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.022,0.2749999999999999,-6.741177275222223,0
16,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,4.17,0.948,-6.741177275222223,0
17,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.001,0.2749999999999999,-6.741177275222223,0
20,2.43818351,1589.15,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.008,0.2749999999999999,-6.741177275222223,0
21,2.43818351,591.160837,92.086427889875,0.11415,0.33,7380.0,0.02,0.203,4.17,0.48,-9.564996193936222,0
23,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,4045.0,0.02,0.95,0.12,0.6,-4.649510608555556,1
24,2.43818351,1728.9864384999996,11.087324335,2.00484242875,0.09,5551.0,0.02,0.95,0.15,0.948,-6.741177275222223,0
25,2.43818351,1728.9864384999996,92.086427889875,0.877,0.453,4415.0,-0.25,1.9420000000000004,4.604,1.234,-5.332538445790198,1
26,2.43818351,804.08,92.086427889875,2.00484242875,0.032,5872.0,0.04,1.21334,4.17,1.06,-7.187010608555556,0
27,2.43818351,171.621,92.086427889875,2.00484242875,0.098,5872.0,0.04,1.21334,4.17,1.06,-7.187010608555556,0
28,2.43818351,521.22,92.086427889875,2.00484242875,0.16,5872.0,0.04,1.21334,4.17,1.06,-7.187010608555556,0
29,2.43818351,1728.9864384999996,92.086427889875,2.00484242875,0.5305,5551.0,0.02,0.95,4.17,1.5950000000000002,-6.741177275222223,0
30,2.43818351,150.009,4.230785,0.0527,0.013,5758.0,0.18,1.17561,4.17,1.03,-7.321433877565908,0
31,2.43818351,3.5,6.7994,0.044,0.0,3442.0,0.16,0.274,9.225,0.2749999999999999,-4.106071922278329,1
32,2.43818351,5.3,33.747,0.13,0.0,3442.0,0.16,0.274,9.225,0.2749999999999999,-4.093174775312634,1
33,2.43818351,276.0,14.651552,0.118,0.0029,5198.0,0.39,0.98,9.225,1.015,-6.533863266103713,0
34,2.43818351,56.6,44.3936,0.247,0.088,5198.0,0.39,0.98,9.225,1.015,-6.5145175456551705,0
35,2.43818351,1214.104515,92.086427889875,2.00484242875,0.0913,5198.0,0.39,0.98,9.225,1.015,-6.250899497444444,0
36,1.875,7.99,0.7365474,0.01544,0.05,5172.0,0.35,0.943,4.17,0.905,-6.344177699583319,0
37,2.43818351,48.5,92.086427889875,0.802,0.063,5198.0,0.39,0.98,9.225,1.015,-6.431285957678885,0
38,2.43818351,597.8352336,92.086427889875,2.00484242875,0.042,4941.0,-0.17,1.9420000000000004,4.17,1.32,-5.893955053,1
39,2.43818351,5.1,4.215,0.050201,0.12,5577.0,-0.01,0.963,8.96,0.942,-7.070419755773149,0
40,2.43818351,18.2,38.021,0.2175,0.14,5577.0,-0.01,0.963,8.96,0.942,-7.045330455886942,0
41,2.43818351,22.9,92.086427889875,0.476,0.35,5577.0,-0.01,0.963,8.96,0.942,-7.006564031577267,0
