Actual_Label,Predicted_Label,Prediction_Probability
0,0,1.2501959e-05
0,0,2.0123418e-05
0,0,1.2153508e-05
0,0,2.0123418e-05
0,0,1.2501959e-05
0,0,1.2843376e-05
0,0,2.7867518e-05
0,0,1.4597615e-05
0,0,0.014115484
0,0,1.2501959e-05
0,0,1.5675461e-05
0,0,0.0005449498
0,0,1.6689846e-05
0,0,0.008614355
0,0,2.0123418e-05
0,0,1.2501959e-05
0,0,1.2153508e-05
0,0,2.3496601e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,0.0019147542
0,0,1.2843376e-05
0,0,2.0648356e-05
0,0,0.035063975
0,0,2.0648356e-05
0,0,0.0008761945
0,0,1.4597615e-05
0,0,1.3787462e-05
0,0,2.3496601e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,2.3496601e-05
0,0,1.2153508e-05
0,0,1.1808111e-05
0,0,2.3496601e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.2828087e-05
0,0,2.1558117e-05
0,0,3.336375e-05
0,0,2.0123418e-05
0,0,0.0001425729
0,0,2.3496601e-05
0,0,1.2501959e-05
0,0,1.5314068e-05
0,0,2.0648356e-05
0,0,2.0123418e-05
0,0,1.2501959e-05
0,0,1.2153508e-05
0,0,1.2501959e-05
0,0,3.306263e-05
0,0,2.3496601e-05
0,0,2.0123418e-05
0,0,0.000565249
0,0,1.1808111e-05
0,0,1.2501959e-05
0,0,1.4597615e-05
0,0,1.2501959e-05
0,0,1.2828087e-05
0,0,1.6689846e-05
0,0,0.0012433663
0,0,1.2501959e-05
0,0,2.3496601e-05
0,0,1.2501959e-05
0,0,2.0648356e-05
0,0,1.2153508e-05
0,0,1.2501959e-05
0,0,1.4597615e-05
0,0,1.5675461e-05
0,0,2.7867518e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.3787462e-05
0,0,1.2501959e-05
0,0,1.3787462e-05
0,0,1.2153508e-05
0,0,2.0123418e-05
0,0,2.6864262e-05
0,0,1.28815245e-05
0,0,1.3787462e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,2.0123418e-05
0,0,2.9979992e-05
0,0,1.2501959e-05
0,0,2.0123418e-05
0,0,1.2843376e-05
0,0,2.0648356e-05
0,0,1.2116139e-05
0,0,1.2501959e-05
0,0,7.038013e-05
0,0,0.0021703101
0,0,1.3787462e-05
0,0,1.2843376e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,1.5675461e-05
0,0,0.00033756063
0,0,1.6955855e-05
0,0,1.1521518e-05
0,0,2.0123418e-05
0,0,1.1808111e-05
0,0,1.2153508e-05
0,0,1.1808111e-05
0,0,0.0005679019
0,0,2.0123418e-05
0,0,1.5314068e-05
0,0,0.00011577209
0,0,1.2153508e-05
0,0,1.4597615e-05
0,0,2.6864262e-05
0,0,1.3212084e-05
0,0,2.0123418e-05
0,0,1.795218e-05
0,0,1.1808111e-05
0,0,2.1558117e-05
0,0,2.2699656e-05
0,0,2.8896113e-05
0,0,1.2153508e-05
0,0,2.7867518e-05
0,0,1.2501959e-05
0,0,1.5314068e-05
0,0,4.284636e-05
0,0,1.1808111e-05
0,0,5.6344586e-05
0,0,0.00014366026
0,0,2.4092338e-05
0,0,1.1808111e-05
0,0,1.2828087e-05
0,0,2.8130793e-05
0,0,1.2501959e-05
0,0,2.0123418e-05
0,0,2.7867518e-05
0,0,2.0648356e-05
0,0,3.720235e-05
0,0,1.2501959e-05
0,0,1.2153508e-05
0,0,2.1266442e-05
0,0,1.2501959e-05
0,0,1.2501959e-05
0,0,2.0123418e-05
0,0,1.3787462e-05
0,0,1.2153508e-05
0,0,1.2478827e-05
0,0,1.1808111e-05
0,0,1.3787462e-05
0,0,1.2175514e-05
0,0,1.2501959e-05
0,0,1.3638445e-05
0,0,1.2843376e-05
0,0,0.00049998186
0,0,1.1808111e-05
0,0,1.3787462e-05
0,0,1.2501959e-05
0,0,2.0648356e-05
0,0,1.2501959e-05
0,0,0.00028086922
